國家/地區別,總計,1.活動物；動物產品,2.植物產品,3.動植物油脂,4.調製食品；飲料及菸酒,5.礦產品,6.化學品,7.塑膠、橡膠及其製品,8.毛皮及其製品,9.木及木製品,10.紙漿；紙及其製品；印刷品,11.紡織品,12.鞋、帽及其他飾品,13.非金屬礦物製品,14.珠寶及貴金屬製品,15.基本金屬及其製品,16.機械及電機設備,17.運輸工具,18.光學及精密儀器；鐘錶；樂器,19.其他
96年 1月,3578260,2979,11500,386,92429,30981,622952,216580,2899,395,25293,19278,536,98872,49920,454738,1448859,171761,305597,22305
96年 2月,2967775,1082,6547,224,36500,27709,553417,171121,3622,700,23521,13690,440,80365,34908,376328,1251303,100750,266548,18999
96年 3月,4118607,1185,7017,429,56177,32372,695891,245548,3987,394,31500,24620,577,95269,48225,659364,1621638,179258,387608,27547
96年 4月,4197339,1402,4049,471,56069,51253,707768,252205,3452,757,26931,22441,808,109999,57074,534644,1829816,151740,361888,24570
96年 5月,3794224,1268,4443,183,53937,27374,651539,234831,4075,839,25491,18824,555,104590,56400,524217,1590474,119975,352758,22451
96年 6月,3782792,1249,3886,395,48051,19543,618633,239775,3936,286,23691,16531,410,97314,63733,515378,1565640,144599,397192,22551
96年 7月,4366774,1958,3814,295,62739,17102,751226,280523,3009,363,29462,18653,410,109328,58782,599825,1764766,143731,490994,29792
96年 8月,3791770,1765,3661,383,51530,36720,690438,244247,3460,331,28712,19008,877,91541,55046,519106,1569598,90954,356897,27495
96年 9月,4043729,2239,5709,536,56698,87091,749622,273097,3828,386,26035,22191,557,105049,69446,499390,1602421,123871,389701,25864
96年 10月,4064623,1989,4494,550,66478,42913,763799,278067,4546,1415,34698,24768,838,118964,73113,458774,1617711,130345,413339,27823
96年 11月,3765374,2214,8102,578,58260,61211,666136,263236,4190,265,29004,19286,605,110919,64716,443151,1506531,155253,347696,24020
96年 12月,4239111,3561,11920,624,60354,33687,750898,281049,4603,341,30864,21957,422,128589,85735,466712,1710280,187509,432809,27195
97,47087528,31254,83671,5263,809247,426736,8403806,2972398,66398,6561,383899,253667,8148,1475429,808835,6088447,19543532,1479203,3940718,300319
97年 1月,4269105,2143,15447,608,83902,43727,786764,282925,5270,316,28709,19057,797,138185,68621,419963,1745654,147269,456175,23572
97年 2月,3524541,1192,6447,576,53837,31909,718893,226694,4731,1011,26785,17725,474,116110,56760,402749,1401945,110357,325351,20997
97年 3月,4978590,2198,7010,542,77520,38596,867837,323272,5702,490,34645,26709,697,159649,88456,611702,2091884,151340,461466,28876
97年 4月,4430068,2299,5450,409,69358,34008,750424,291117,5295,553,37034,24734,790,145969,78217,537318,1909584,140356,369270,27883
97年 5月,3780154,1835,4483,417,60299,32263,713087,259204,5478,371,33435,19495,522,128871,81552,545024,1486478,99741,282282,25316
97年 6月,4423141,3975,4637,460,50088,64189,815550,303383,5137,783,37506,22050,696,161783,93766,619151,1722482,159918,327846,29742
97年 7月,4323724,3148,4058,406,81713,66818,835396,289769,5305,611,31936,19387,537,132866,87895,567945,1642730,129112,397233,26857
97年 8月,4087472,1969,4767,403,85182,32482,876615,245306,5644,824,36801,21219,874,125427,66974,597648,1567601,92368,301014,24353
97年 9月,3921971,3382,5134,301,57646,16750,714291,228094,5596,644,33072,23128,690,128389,70027,542738,1600564,90660,376296,24570
97年 10月,3651093,2752,4954,407,62617,19987,561188,226635,5607,233,33090,24294,726,102186,63731,497984,1688561,104750,227763,23628
97年 11月,3120308,2420,8721,349,62762,24768,447582,185569,7123,314,27245,19628,1018,79404,36911,412584,1437317,106770,237974,21848
97年 12月,2577361,3938,12564,384,64324,21237,316178,110430,5512,411,23640,16241,326,56590,15925,333641,1248733,146561,178049,22677
98,36751217,36641,78121,4047,686940,343585,6514791,2784246,39656,9710,300958,199376,6517,1394134,655464,4232361,15442614,1698227,2054320,269508
98年 1月,1848514,2324,11974,64,59402,12990,247640,78973,2903,509,10528,10349,234,47394,13983,217112,894377,144141,76734,16885
98年 2月,2478127,1771,7358,470,74430,19275,375595,161195,3790,240,19239,17893,673,73774,27905,260421,1185158,110609,118868,19462
98年 3月,2773839,1528,6328,343,67070,17246,501698,205003,3973,255,21114,17136,741,77727,30054,311748,1241925,110722,137661,21569
98年 4月,2660052,1620,7323,260,56319,26787,514647,226008,3321,330,23055,15361,684,87679,55457,278347,1123689,95620,123269,20277
98年 5月,2633401,2653,3729,444,51483,22727,492069,215000,2133,226,20966,12501,273,108009,76385,307975,1065374,103628,129110,18718
98年 6月,3219389,4227,3975,429,69081,20495,617058,252684,2363,1940,27706,15795,436,114479,58560,363129,1317620,169902,156033,23475
98年 7月,3133173,2716,3607,483,55957,49810,575708,249751,2937,300,24826,13511,268,118341,58763,330811,1274421,176289,172260,22413
98年 8月,3235081,3758,3676,342,55659,35231,599381,269485,3822,287,28989,18674,599,135572,58752,392453,1294430,114693,197855,21424
98年 9月,3484759,3554,5805,399,55156,37816,631937,285807,3946,356,33378,19056,503,133688,61001,439579,1395169,127334,224287,25988
98年 10月,3525028,4107,5313,110,45630,34514,591502,289600,3430,436,28757,21329,758,158765,68549,382648,1485431,146230,232520,25398
98年 11月,3785353,3231,7957,259,46096,36243,652741,281352,3549,4350,33228,17376,569,159174,68761,467876,1522977,209296,243378,26936
98年 12月,3974499,5152,11077,445,50656,30451,714815,269388,3488,481,29174,20396,777,179532,77294,480261,1642043,189762,242344,26963
99,52910333,44511,75279,6185,796602,392433,8695950,3906306,23594,11302,414823,242181,8401,2304506,949067,6039488,23192274,2294258,3180652,332522
99年 1月,3751436,4311,15650,480,60763,28608,665421,300899,2850,777,31599,17000,530,171730,58724,457910,1532557,166999,211023,23606
99年 2月,3692842,2200,9891,468,58163,26044,713360,281578,3214,509,32650,17336,450,165018,57431,394764,1486560,155883,264862,22459
99年 3月,4882793,5515,5076,425,67737,48459,754050,368309,4637,473,41022,22855,764,227085,122667,540460,2118282,218156,307287,29534
99年 4月,4272764,3183,3517,649,61897,21616,677737,322964,3802,1068,33518,17422,563,191882,74783,489704,1876477,185326,281514,25143
99年 5月,4607327,3955,3968,503,62680,25102,721477,337722,1095,1427,34706,16780,586,186721,85501,563708,2020666,232406,279844,28481
99年 6月,4478592,2839,3018,517,69024,32433,745762,322054,732,1029,38032,18585,558,223795,75371,576446,1852607,207540,280474,27774
99年 7月,4354648,2655,3330,427,80168,18810,710232,327716,1348,464,32906,19402,508,201779,74610,438890,1953374,172713,288666,26650
99年 8月,4798928,5022,3385,380,64274,31969,775507,330153,1277,797,33635,22341,870,222709,98662,563802,2184966,154990,276242,27948
