"國家/地區別","總計","1.活動物；動物產品","2.植物產品","3.動植物油脂","4.調製食品；飲料及菸酒","5.礦產品","6.化學品","7.塑膠、橡膠及其製品","8.毛皮及其製品","9.木及木製品","10.紙漿；紙及其製品；印刷品","11.紡織品","12.鞋、帽及其他飾品","13.非金屬礦物製品","14.珠寶及貴金屬製品","15.基本金屬及其製品","16.機械及電機設備","17.運輸工具","18.光學及精密儀器；鐘錶；樂器","19.其他"
"95年 5月",1281753,50135,20017,552,7335,22795,86639,69275,1610,5918,5691,28515,2156,14868,5389,114330,713560,49868,44000,39101
"95年 6月",1323610,44850,13585,389,5603,17521,73941,68410,1747,5351,5611,28118,1953,20376,8818,116500,769608,42991,60823,37415
"95年 7月",1412319,66565,15416,480,5709,19702,86011,69006,1776,6465,6210,30647,2506,24459,7174,121984,789858,46934,71259,40156
"95年 8月",1350854,72460,12758,395,4573,5634,84449,64493,1738,6224,6564,30244,2410,21184,6026,112606,767592,38182,77541,35779
"95年 9月",1490855,74468,8151,481,3912,24289,89196,75102,2031,6705,6674,28885,2944,30382,8596,115670,864744,45290,62914,40422
"95年 10月",1434043,40413,10904,510,4432,3671,84462,72890,1519,6207,5598,31663,1634,26860,8114,117524,854548,44268,78802,40024
"95年 11月",1410324,59165,6447,547,4618,9945,78677,70578,1551,7976,4966,29932,1758,22069,9173,131418,822920,34452,71723,42410
"95年 12月",1482885,41489,6818,486,4162,61518,93788,71053,1656,6911,6307,31095,1734,23830,10132,119549,852256,36429,70594,43080
"96年",16143838,554393,134730,10726,81553,403513,1107431,886578,26646,63478,59210,376923,28285,251202,166274,1483937,8914557,521278,586682,486443
"96年 1月",1461192,42474,11768,493,4355,72022,89961,67312,1686,6339,4112,30916,2102,25066,17401,136876,794818,45064,61648,46781
"96年 2月",1194476,39969,6540,494,5004,28699,72031,58525,1343,5539,4602,24694,2897,14018,9214,112586,679114,36903,52085,40216
"96年 3月",1545003,46623,14619,650,7272,63442,102472,78989,2179,5465,5572,32131,3387,28539,9079,132685,865536,46311,52106,47948
"96年 4月",1353579,29349,13979,667,8555,22426,91613,74822,1511,5845,4713,30921,2621,22453,10550,134361,761111,49719,47924,40437
"96年 5月",1228103,44710,15630,658,8174,26993,87183,69018,1923,5910,4330,29388,1898,18252,8392,130668,662085,38232,35674,38984
"96年 6月",1285764,44434,15087,796,8033,28850,88273,71943,2960,6057,5166,32719,2678,20535,9655,118977,713681,37962,39881,38077
"96年 7月",1311607,57827,16681,640,6705,9090,103392,83783,2424,5381,4587,33661,2338,18345,13408,113193,714285,40947,47209,37711
"96年 8月",1267963,53530,7886,1212,4961,4485,75523,73700,2039,4962,5737,31137,1881,18063,9996,114812,719953,53825,49407,34856
"96年 9月",1327608,43908,10198,1499,6117,7645,91795,80362,2348,4245,6044,30331,2709,19362,9248,120937,764945,41606,45527,38781
"96年 10月",1347431,49078,7734,1469,5978,11504,97021,76450,1977,5143,4706,32470,1817,21630,13951,124204,757512,43317,53575,37892
"96年 11月",1278586,44698,6566,887,5824,3623,104248,74895,2875,4392,4996,29393,1796,19074,18808,111656,710597,41282,51908,41069
"96年 12月",1542526,57794,8043,1260,10576,124734,103917,76777,3379,4200,4645,39163,2160,25864,36572,132983,770919,46109,49740,43691
"97年",17818620,601004,147064,15903,84573,371212,1378816,1175159,32224,48531,60823,388847,31017,321010,306303,1739074,9257376,597898,772333,489452
"97年 1月",1396822,55728,9427,1096,8491,37780,123332,91130,1617,3993,4288,29660,2254,19396,65425,132024,668260,48882,47948,46090
"97年 2月",1207221,41752,7825,980,6393,5927,116500,80244,3232,3011,3397,29897,2075,19487,11112,113917,646825,38566,38792,37288
"97年 3月",1604886,56518,16048,1132,13511,10717,128643,106663,2734,4705,5066,38140,3306,24494,34065,153150,835949,63465,53188,53393
"97年 4月",1542937,50171,18031,1475,12103,44356,123406,90934,2814,4442,4436,31169,3074,19380,14477,141642,846124,42068,50783,42051
"97年 5月",1520618,43076,16090,1161,8641,15004,127105,100056,2564,4234,5040,38508,2440,24266,14430,149783,803822,55019,68874,40504
"97年 6月",1511731,44120,16581,1711,5494,30528,117309,101689,3072,4000,4405,36272,2437,28516,21125,146701,782222,55276,71303,38973
"97年 7月",1539083,58487,18135,1848,4881,17637,105321,100743,2169,4069,4693,31890,3026,23958,36863,149672,817156,51120,70831,36586
"97年 8月",1674578,64308,10845,1225,4888,43938,116740,110802,2917,3891,6368,34358,2321,35090,53728,149220,857530,49297,89014,38097
"97年 9月",1522627,52735,9804,1011,4362,51067,106094,100599,2857,3525,5234,32744,3193,37394,17502,144943,764806,47972,99019,37767
"97年 10月",1575571,54815,8315,1495,4208,20649,113112,108609,2146,3648,5880,32486,2481,35815,12857,159743,860438,45470,64734,38672
"97年 11月",1518365,43990,9413,1744,6375,37254,116406,106947,3952,5224,7727,30962,2351,36783,15305,175486,753314,50450,71764,42919
"97年 12月",1204181,35304,6551,1024,5227,56355,84850,76743,2151,3788,4289,22761,2060,16431,9416,122794,620929,50314,46082,37112
"98年",14606566,441807,138513,9399,62013,175156,903322,944154,31169,43878,87144,273825,32598,369150,216766,1164198,8172408,528435,573066,439567
"98年 1月",1137200,42832,8636,1003,5261,43951,67349,75105,3354,4670,6206,21534,3747,15343,18538,110152,589040,42682,35111,42686
"98年 2月",1062380,41453,10234,880,3930,50753,57254,65056,2731,4006,5752,16310,2527,14117,7779,98498,554266,59938,32580,34317
"98年 3月",1044427,27622,12551,726,4144,18321,62357,69513,3120,3781,6945,20933,4389,17363,7724,92676,553204,55965,40985,42109
"98年 4月",1022986,26803,13590,768,6150,3886,52007,65027,4060,3085,6436,17915,3120,29650,7370,78309,580347,51530,39811,33122
"98年 5月",1151098,37619,16783,805,6768,4724,68349,88096,2675,2825,8419,19608,2329,44791,27288,80542,617752,46483,40316,34926
"98年 6月",1223539,34865,19922,934,5687,5449,72494,70524,1888,3945,6589,22125,1906,32560,11203,84357,736110,34957,47808,30214
"98年 7月",1209815,42277,15065,709,4511,7512,77087,86332,1964,3115,7274,23432,2841,30761,13900,90446,680541,38797,49849,33403
"98年 8月",1299178,46368,9940,674,6471,4321,81532,82286,2373,2620,7832,24152,2580,38980,32736,98988,740757,38427,45101,33039
"98年 9月",1319742,38709,7764,857,4132,7809,86202,82438,2171,3674,7844,23630,2518,44357,22165,96805,759307,38708,54513,36139
"98年 10月",1446264,36098,8485,830,5081,7107,89778,92379,2570,4246,8306,30263,2402,38728,38559,116352,818396,43660,61523,41499
"98年 11月",1400850,38934,8034,773,4972,12216,97902,87652,2340,4474,9612,26690,2272,29970,15035,114332,793556,41215,69348,41524
"98年 12月",1289087,28227,7508,441,4908,9106,91009,79745,1923,3436,5927,27231,1966,32531,14470,102740,749134,36073,56122,36590
"99年",18445058,562559,164611,9744,96602,129242,1366570,1237723,33460,54441,84849,349147,34562,434569,259919,1713604,10056648,529763,827077,499970
"99年 1月",1474960,40583,10868,821,6146,14442,109760,92101,2061,4842,9473,29991,2671,33433,25911,124773,809664,50770,61063,45586
"99年 2月",1205591,34800,10361,455,4031,5298,81257,75520,3132,3694,5964,20702,2472,27039,10395,105864,685089,31548,63866,34105
"99年 3月",1510384,43790,16056,823,6705,12744,117430,93111,2386,4252,8198,26725,4169,37495,19522,137909,787830,51079,93411,46751
"99年 4月",1426831,41879,14742,921,10958,7694,119378,95846,2929,3776,6189,27804,3781,28754,15705,139784,768330,34756,63450,40155
"99年 5月",1593948,46528,18885,657,10821,11645,121865,109495,3349,4962,7162,31501,2866,31738,41019,156044,843890,44686,65223,41614
"99年 6月",1460434,32774,20052,684,7725,11298,110642,100798,2328,4340,5474,26769,2893,36028,15821,129047,815546,32616,69352,36246
"99年 7月",1643245,60859,17641,900,7298,8693,132142,124124,3095,4224,7666,32128,3243,30853,18909,153637,882765,43124,70585,41356
