"國家/地區別","總計","1.活動物；動物產品","2.植物產品","3.動植物油脂","4.調製食品；飲料及菸酒","5.礦產品","6.化學品","7.塑膠、橡膠及其製品","8.毛皮及其製品","9.木及木製品","10.紙漿；紙及其製品；印刷品","11.紡織品","12.鞋、帽及其他飾品","13.非金屬礦物製品","14.珠寶及貴金屬製品","15.基本金屬及其製品","16.機械及電機設備","17.運輸工具","18.光學及精密儀器；鐘錶；樂器","19.其他"
"107年 4月",2516161,84884,188311,982,60332,135037,344165,88379,5407,5270,31930,29318,234,21872,14433,106397,931852,163180,166344,137834
"107年 5月",2749953,85686,204329,1403,63899,227561,348754,100021,3819,6630,38547,34716,233,18994,17550,128552,868202,329609,192947,78501
"107年 6月",2405954,69721,201170,763,63514,194687,342057,85300,7070,5128,38450,27578,146,20651,15826,120587,809190,143290,176541,84285
"107年 7月",3161672,83259,294709,565,68134,312602,374842,114109,5305,7557,42822,27707,157,24778,17199,109628,1056555,162532,230186,229026
"107年 8月",2888618,77679,201686,1116,49881,531018,324433,85708,3520,3957,39251,20607,831,22460,13465,95290,1020927,126671,190990,79128
"107年 9月",2991760,93569,224974,1670,52664,443319,342277,91001,3594,3537,40735,20040,345,21176,13712,136380,900960,303330,212394,86083
"107年 10月",3083522,76143,193347,1162,54506,540686,385158,96417,2748,3533,38229,23511,100,22938,18352,113389,1003898,141802,240527,127076
"107年 11月",2856236,74993,195655,1860,59934,596395,372906,104904,4075,3564,38463,18629,237,20586,17283,118077,831156,164883,164156,68480
"107年 12月",2947113,68316,211942,1286,61702,260569,325055,86088,4108,3866,33079,14920,295,18494,13357,134181,1050243,314293,251599,93720
"108年",34849797,980801,1901184,8786,719625,5350590,3634865,1042660,43212,47260,421925,246466,3872,210774,248203,1290121,11979345,2643801,2659119,1417188
"108年 1月",3333140,97275,207750,682,67788,629298,348591,104957,3542,5137,38702,22234,310,23551,19114,128123,953162,149980,263955,268989
"108年 2月",1864457,48670,91822,151,37625,210175,221984,56943,3401,2862,26279,12808,89,14807,11761,72986,733609,110404,132585,75496
"108年 3月",3117729,82224,190313,573,56214,384845,338795,98719,6377,5511,40956,26412,223,19640,17672,121845,1208735,138908,262283,117484
"108年 4月",2973151,83223,143459,682,65208,638417,307389,84503,4749,4690,36713,23613,283,18187,20841,112977,895339,167640,248014,117224
"108年 5月",2813475,92034,165768,512,72617,502407,319752,94312,7406,4870,38499,27095,644,16643,15948,110351,831540,197536,164463,151078
"108年 6月",3242269,90799,154748,709,60396,570500,319007,89519,4264,4407,33956,21954,548,14664,22706,100580,898099,508388,252819,94206
"108年 7月",2839884,91733,129065,347,62062,466806,292317,88268,4329,4199,35813,27283,324,15333,17131,113093,982820,180124,227319,101518
"108年 8月",2644021,84807,131804,1009,58708,391781,260943,80147,1651,4264,36564,15604,105,14868,19406,96780,887682,312144,157767,87987
"108年 9月",2713338,79505,178762,1459,57261,342606,314420,86159,1877,3343,35674,20056,93,16168,18113,119438,943922,164718,249154,80610
